item_category_id,nof_items_per_cate
0,4
1,2
2,75
3,34
4,15
5,29
6,40
7,24
8,9
9,12
10,1
11,41
12,20
13,6
14,18
15,37
16,20
17,7
18,6
19,628
20,175
21,125
22,79
23,501
24,123
25,140
26,3
27,8
28,240
29,46
30,756
31,1125
32,6
33,18
34,8
35,4
36,6
37,1780
38,310
39,7
40,5035
41,332
42,12
43,471
44,161
45,195
46,12
47,151
48,5
49,167
50,2
51,1
52,3
53,3
54,90
55,2365
56,397
57,427
58,790
59,294
60,52
61,598
62,295
63,366
64,290
65,163
66,178
67,394
68,27
69,317
70,228
71,6
72,666
73,36
74,8
75,277
76,333
77,220
78,278
79,1
80,6
81,7
82,8
83,15
